Id_pagina_ex;links;Qtd
93;https://clicklogger.rm.uol.com.br/?prd=912&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-playkids&msr=Cliques%20de%20Origem:1&oper=11&redir=https://playkids.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=915&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-esporteclube&msr=Cliques%20de%20Origem:1&oper=11&redir=https://esporteclube.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=931&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-dieta&msr=Cliques%20de%20Origem:1&oper=11&redir=https://dieta.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=4&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-wifi&msr=Cliques%20de%20Origem:1&oper=11&redir=https://wifi.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=16&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-host&msr=Cliques%20de%20Origem:1&oper=11&redir=https://uolhost.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=939&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-meu-negocio&msr=Cliques%20de%20Origem:1&oper=11&redir=https://meunegocio.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=46&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-sexo&msr=Cliques%20de%20Origem:1&oper=11&redir=https://sexo.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=11&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-telefones-vermelho&msr=Cliques%20de%20Origem:1&oper=11&redir=https://assine.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=11&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-telefones&msr=Cliques%20de%20Origem:1&oper=11&redir=https://assine.uol.com.br/;1
93;https://clicklogger.rm.uol.com.br/?prd=11&grp=src:13__chn:539__cpg:linkfixo_menu__creative:assine-texto&msr=Cliques%20de%20Origem:1&oper=11&redir=https://assine.uol.com.br/;1
93;https://www.uol.com.br/vivabem/saude/coronavirus/index.htm#tema-sintomas;1
93;https://www.uol.com.br/vivabem/saude/coronavirus/index.htm#tema-prevencao;1
93;https://www.uol.com.br/vivabem/saude/coronavirus/index.htm#tema-tratamentos,-testes-e-vacinas;1
93;https://www.uol.com.br/vivabem/saude/coronavirus/index.htm#tema-dia-a-dia-com-a-pandemia;1
93;https://www.uol.com.br/vivabem/saude/coronavirus/index.htm#tema-saude-mental;1
93;https://economia.uol.com.br/auxilio-emergencial/;1
93;https://noticias.uol.com.br;1
93;https://noticias.uol.com.br/cotidiano/;1
93;https://educacao.uol.com.br/;1
93;https://noticias.uol.com.br/internacional/;1
93;https://noticias.uol.com.br/politica/;1
93;https://noticias.uol.com.br/saude/;1
93;https://noticias.uol.com.br/confere;1
93;https://noticias.uol.com.br/newsletters?resumo-do-dia;1
93;https://noticias.uol.com.br/blogs-e-colunas;1
93;https://noticias.uol.com.br/ultimas;1
93;https://noticias.uol.com.br/loterias;1
93;https://noticias.uol.com.br/loterias/mega-sena/;1
93;https://noticias.uol.com.br/loterias/quina/;1
93;https://noticias.uol.com.br/loterias/lotofacil/;1
93;https://noticias.uol.com.br/loterias/lotomania/;1
93;https://www.uol.com.br/podcasts;1
93;https://noticias.uol.com.br/podcast/baixo-clero/;1
93;https://noticias.uol.com.br/podcast/ficha-criminal/;1
93;https://www.uol.com.br/vivabem/podcast/maratona/;1
93;https://www.uol.com.br/esporte/podcast/posse-de-bola/;1
93;https://www.uol.com.br/universa/podcast/sexoterapia/;1
93;https://noticias.uol.com.br/podcast/uol-entrevista;1
93;https://economia.uol.com.br/podcast/uol-lideres;1
93;https://tvefamosos.uol.com.br/podcast/uol-ve-tv;1
93;https://economia.uol.com.br/podcast/midia-e-marketing;1
93;https://uol.com.br/mov/fora-de-serie;1
93;https://uol.com.br/mov/retrato;1
93;https://www.uol.com.br/mov/mov-doc;1
93;https://carros.uol.com.br;1
93;https://www.uol.com.br/carros/avaliacao;1
93;https://carros.uol.com.br/meu-carro;1
93;https://www.uol.com.br/carros/mobilidade;1
93;https://www.uol.com.br/carros/motos/;1
93;https://www.uol.com.br/carros/lancamentos-e-mercado;1
93;https://www.uol.com.br/carros/segredos-automotivos/;1
93;https://www.uol.com.br/carros/tabela-fipe/;1
93;https://www.uol.com.br/carros/videos;1
93;https://www.uol.com.br/carros/ultimas;1
93;https://carros.uol.com.br/avaliacao/videos;1
93;https://www.uol.com.br/carros/duelo/;1
93;https://www.uol.com.br/carros/meu-carro-minha-vida;1
93;https://www.uol.com.br/carros/pitstop/;1
93;https://www.uol.com.br/carros/deu-ruim/index.htm;1
93;https://www.uol.com.br/carros/seloko-tio/index.htm;1
93;https://www.uol.com.br/carros/os-carros-de/index.htm;1
93;https://economia.uol.com.br;1
93;https://economia.uol.com.br/empreendedorismo/;1
