Id_pagina_ex;frases;Qtd
93;Associação Brasileira de Imprensa diz que Bolsonaro agiu de forma criminosa;1
93;Políticos desejam melhoras a Bolsonaro__ oposição pede reflexão sobre pandemia;1
93;Um terço dos que constam em agendas de Bolsonaro já fez ou vai fazer teste;1
93;Coronavírus no Brasil Brasil soma mais 1.312 mortes em 24 h, 47% no Sudeste__ total é de 66.868;1
93;Diretor do Butantan se diz otimista com disponibilizar vacina ainda em 2020;1
93;A TV, Mandetta diz que escondeu projeções pessimistas: 'Não ajudava';1
93;'Olhem agora o que está acontecendo no Brasil', diz Trump sobre crise;1
93;Moradores de rua cobram ações da prefeitura de SP contra frio e covid-19;1
93;Mauricio Stycer JN reage à 'exclusiva' de Bolsonaro e não mostra imagens do presidente;1
93;Mais de Bolsonaro com covid Ministro requisita inquérito da PF para investigar artigo de colunista da Folha;1
93;Artigo de colunista da Folha é ataque claro à instituição da Presidência, diz ministro;1
93;Opinião: Que Bolsonaro se recupere e experiência sirva para mudança de atitude;1
93;Apoio às companhias Câmara aprova texto-base de MP de socorro a aéreas e que trata de reembolso a clientes;1
93;Supostas 'rachadinhas' Flávio Bolsonaro depõe pela 1ª vez ao MP, mas esposa dele não comparecerá;1
93;Veja tudo que rolou Vitão chega de surpresa no show de Luísa Sonza no drive-in, em São Paulo;1
93;Governo Mourão defende manter Pujol no comando do Exército até fim do mandato de Bolsonaro;1
93;Educação Falta de ministro trava definição de data do Enem;1
93;Bolsonaro diz que Vitor Hugo está na 'reserva' para MEC;1
93;Câmara suspensão de número mínimo de dias letivos;1
93;Após entrevista ao UOL Defesa diz que Lula não cometeu crimes de PowerPoint de Dallagnol;1
93;Medidas na crise Relator vê erro em veto a desoneração__ Congresso pode derrubar, diz Maia;1
93;Prorrogação de receita médica e odontológica na pandemia vai à sanção;1
93;Senado aprova indenização de R$ 50 mil a profissionais incapacitados pela covid-19;1
93;Senado decide cancelar recesso parlamentar de julho por pandemia;1
93;Volta do futebol FPF quer retorno do Paulista no dia 22 e aguarda definição do governo de SP;1
93;Meio ambiente Empresas pedem ações contra desmatamento na Amazônia a Mourão;1
93;Futebol paulista Além de Dudu, Palmeiras também negocia saída de Gustavo Scarpa;1
