Id_pagina_ex;tags;Qtd
92;a;18
92;div;12
92;input;10
92;span;8
92;script;7
92;br;5
92;td;3
92;meta;2
92;style;2
92;nobr;2
92;img;2
92;html;1
92;head;1
92;title;1
92;body;1
92;b;1
92;u;1
92;center;1
92;form;1
92;table;1
92;tr;1
92;p;1
